I, [2015-02-26T23:46:09.489271 #83266]  INFO -- default-inokappa-centos6: -----> Creating <default-inokappa-centos6>...
E, [2015-02-26T23:46:09.489441 #83266] ERROR -- default-inokappa-centos6: Create failed on instance <default-inokappa-centos6>.
E, [2015-02-26T23:46:09.489528 #83266] ERROR -- default-inokappa-centos6: ------Exception-------
E, [2015-02-26T23:46:09.489552 #83266] ERROR -- default-inokappa-centos6: Class: Kitchen::ActionFailed
E, [2015-02-26T23:46:09.489567 #83266] ERROR -- default-inokappa-centos6: Message: Unknown platform 'inokappa/centos6'
E, [2015-02-26T23:46:09.489581 #83266] ERROR -- default-inokappa-centos6: ------Backtrace-------
E, [2015-02-26T23:46:09.489595 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/kitchen-docker-1.7.0/lib/kitchen/driver/docker.rb:159:in `build_dockerfile'
E, [2015-02-26T23:46:09.489609 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/kitchen-docker-1.7.0/lib/kitchen/driver/docker.rb:183:in `dockerfile'
E, [2015-02-26T23:46:09.489678 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/kitchen-docker-1.7.0/lib/kitchen/driver/docker.rb:200:in `build_image'
E, [2015-02-26T23:46:09.489693 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/kitchen-docker-1.7.0/lib/kitchen/driver/docker.rb:81:in `create'
E, [2015-02-26T23:46:09.489707 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:352:in `public_send'
E, [2015-02-26T23:46:09.489721 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:352:in `block in perform_action'
E, [2015-02-26T23:46:09.489734 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:416:in `call'
E, [2015-02-26T23:46:09.489748 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:416:in `synchronize_or_call'
E, [2015-02-26T23:46:09.489761 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:381:in `block in action'
E, [2015-02-26T23:46:09.489774 #83266] ERROR -- default-inokappa-centos6: /System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/benchmark.rb:281:in `measure'
E, [2015-02-26T23:46:09.489788 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:380:in `action'
E, [2015-02-26T23:46:09.489801 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:352:in `perform_action'
E, [2015-02-26T23:46:09.489814 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:303:in `create_action'
E, [2015-02-26T23:46:09.489828 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:292:in `block in transition_to'
E, [2015-02-26T23:46:09.489841 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:291:in `each'
E, [2015-02-26T23:46:09.489917 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:291:in `transition_to'
E, [2015-02-26T23:46:09.489931 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/instance.rb:119:in `create'
E, [2015-02-26T23:46:09.489945 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/command.rb:176:in `public_send'
E, [2015-02-26T23:46:09.489958 #83266] ERROR -- default-inokappa-centos6: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.3.1/lib/kitchen/command.rb:176:in `block (2 levels) in run_action'
E, [2015-02-26T23:46:09.489971 #83266] ERROR -- default-inokappa-centos6: ----------------------
